NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200100044,B J MNYANDA PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,89,109,"2024, 2025","-33.88848017321148, 25.586283965069335",,,KwaZakhele
200100057,BEN NYATI PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,103,87,2025,"-33.88185240643032, 25.589495915504354",,,Kwazakhele
200100103,CANZIBE PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,52,48,"2024, 2025","-33.802273568247, 25.597351944335124",,,Motherwell
200100109,CEBELIHLE PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,97,162,"2023, 2024, 2025","-33.86750974520773, 25.548108595171687",,,Govan Mbeki
200100149,DANIELS PUBLIC PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,35,35,"2023, 2024, 2025","-33.86669249223473, 25.56926934711244",,,Zwide
200100152,DAVID VUKU PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,63,59,"2024, 2025","-33.89492635033403, 25.599557219757095",,,New Brighton
200100199,ELUNDINI FULL SERVICE SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,64,61,2025,"-33.80571199029267, 25.594983030841757",,,Motherwell
200100201,EMAFINI PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,108,181,"2023, 2024, 2025","-33.84772254703283, 25.517130375021583",,,Kwamagxaki
200100202,EMFUNDWENI PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,52,70,"2023, 2024, 2025","-33.858823186132746, 25.552765646741914",,,Zwide
200100203,EMPUMALANGA PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,88,141,2025,"-33.80187035794391, 25.577800136228362",,,Motherwell
200100204,EMSENGENI PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,83,80,"2023, 2024, 2025","-33.86565172628185, 25.562472177426212",,,Zwide
200100205,EMZOMNCANE PRIMARY SCHOOL,Central,NM Central-3,2. PRIMARY,3,39,57,"2023, 2024, 2025","-33.86647273435774, 25.578477042860634",,,Zwide
200100207,ENKWENKWEZINI PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,90,114,2025,"-33.80098184483708, 25.613307771674243",,,Motherwell
200100208,ENQILENI INTERMEDIATE SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,108,131,2025,"-33.804740773386605, 25.606559657828818",,,Motherwell
200100234,FUMISUKOMA PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,120,208,2025,"-33.803003203612356, 25.581718465064615",,,Motherwell
200100236,FUNIMFUNDO PRIMARY SCHOOL,Central,NM Central-3,2. PRIMARY,3,36,38,2025,"-33.85415364689921, 25.55307599276748",,,Zwide
200100248,GERTRUDE SHOPE SENIOR PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,59,91,"2023, 2024, 2025","-33.85961438229918, 25.538952585187342",,,Govan Mbeki
200100302,K K NCWANA PRIMARY SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,78,94,"2023, 2024, 2025","-33.87996500883815, 25.5769402308462",,,Kwazakhele
200100317,ENKULULEKWENI PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,153,201,2025,"-33.77203947659108, 25.57246270385257",,,Motherwell
200100328,IKHWEZELIHLE PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,60,42,2025,"-33.81738867241025, 25.584169390916912",,,Motherwell
200100331,ILITHA PUBLIC PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,0,12,2025,"-33.8644919767809, 25.586829455984",,,Kwazakhele
200100334,IMBASA PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,138,213,2025,"-33.77291288881143, 25.588614794055786",,,Motherwell
200100337,INKQUBELA PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-1,2. PRIMARY,3,7,12,2025,"-33.884688726821544, 25.601024576872177",,,Kwazakhele
200100368,KAMA PUBLIC SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,85,101,"2024, 2025","-33.904165308468734, 25.599519781125224",,,New Brighton
200100373,KAYSER NGXWANA PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,25,41,2025,"-33.87622500090564, 25.593812852660662",,,Kwazakhele
200100380,KHULILE PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,59,77,2025,"-33.81107041522384, 25.58303245413253",,,Motherwell
200100425,KWANOXOLO PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,97,130,"2023, 2024, 2025","-33.85776390692533, 25.488813159680333",,,Kwanoxolo
200100444,LAMANI PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,30,32,2025,"-33.89357641866544, 25.590633038795527",,,New Brighton
200100600,NXANELWIMFUNDO INTERMEDIATE SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,74,98,2025,"-33.79709623637374, 25.589532049879807",,,Motherwell
200100623,PENDLA PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,31,26,2025,"-33.90056187325455, 25.58854465783458",,,New Brighton
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
